ID,grainSize,phi1,Phi1,phi2,GOS,centroid_x,centroid_y,x,y
2484,24,2.28866853440928,2.55626543778158,2.71385609815617,0.0161052042648894,35976.4221578941,14535.1378078383,-0.28544889840267,-0.958393930699012
2871,23,2.60141223243405,2.77980986493237,3.08456974939746,0.0214373707036582,36231.4101018448,14587.8349926703,0.417728500377615,-0.908571901377249
4035,37,2.6129228328137,0.575687796009817,1.85124309372137,0.0397550776668949,35578.5374057243,14819.5650442474,-0.91849164628736,-0.395440381979807
4120,63,2.55209527323689,0.476387830619991,1.88348008371973,0.0196887635301143,35741.7131766482,14835.2576700135,-0.912713535524906,-0.408600051480206
4276,72,2.50464410712123,0.553544854783464,2.0451841127056,0.0490876379819729,35176.379719069,14854.5141292918,-0.912725106915428,-0.408574202815376
4671,150,2.49074226635221,0.519679390064425,2.06001034448443,0.0472203606914453,35447.6747079113,14908.2066135711,-0.917025409276198,-0.398828783742876
4734,90,2.74635997708553,0.618552210443153,1.90046713367336,0.0159829745676684,34694.0766139149,14944.3691355182,-0.965132119387897,-0.261763236772901
4838,271,2.45294250879422,0.457910252145896,2.13637020255319,0.0385577791700637,34950.6371251805,14863.3980196915,-0.932908940859312,-0.36011235477939
5320,69,2.33629458125569,0.482998903815166,2.20802906916302,0.0326335609491987,35756.6559716147,15072.6422136282,-0.894615546373244,-0.446836686259423
5730,196,2.47021451982458,0.549187457617965,2.07732684345097,0.0292125196591386,35455.5558925377,15095.8448917505,-0.905375022435527,-0.424612845719331
6128,96,1.95472136200586,0.499779777675741,2.58212661110094,0.0321756296311682,35998.9602249474,15214.2477525895,-0.792073899555686,-0.610425210523491
6283,40,2.21203876230887,0.746938485757581,0.854858683710383,0.0276736916325843,36227.5654368433,15213.1169030857,-0.431901088112757,-0.901920977739744
6635,46,1.83299773883996,0.312918626361637,2.73561975900877,0.0332142853853221,35493.6567944078,15311.1507505983,-0.952340997942935,-0.30503544652557
7025,457,2.47268303062598,0.37412988072046,2.16456690214376,0.0432836881095485,35119.6321104398,15283.7464006001,-0.964670758346366,-0.263458398976854
7428,108,2.67000626307888,0.528133208250919,1.98509654598479,0.0627835386452882,35731.9730498745,15459.7084908284,-0.963332362944628,-0.268310936235405
7505,249,2.20739829458496,0.394627679865974,2.28317356226315,0.0371679195253834,35968.1330170624,15422.8978358414,-0.894034515095742,-0.447998086845828
7753,33,2.57075300954638,2.87500837871702,1.72922507753488,0.0224377341333564,36868.9329115827,15562.4195764432,-0.766885974396225,-0.641783376439709
7798,106,2.16126007813103,2.99279170535015,0.956080968695446,0.0601783249654722,34970.4881633576,15539.1533340443,-0.920145878040599,-0.39157574379026
8414,101,0.142686106480563,0.31330932409021,1.28404285319487,0.0359490689680271,35368.0157231547,15674.8201476004,-0.997589910898729,-0.0693856589870393
8577,312,2.48222680328393,2.87184445032199,2.03854625860366,0.0433615318886694,37087.9814968028,15595.7504089502,-0.509975959871974,-0.8601886539316
10027,64,0.00325793004714114,2.45743641844137,1.36544265155704,0.0501840361183096,34986.6852137009,16093.5964131859,-0.997268806981883,0.0738574750511546
10029,35,2.8972110723743,0.574689773366791,1.79424822882253,0.0409525566452535,35207.6495269496,16111.1473043226,-0.98924931875209,-0.146238795634146
10070,53,2.26461294378325,0.815310285104803,2.06426813849585,0.0608210443408014,34252.817660883,16082.2667287351,-0.727633232766273,-0.685966382976675
10136,41,3.11701730421963,0.615295932510984,1.38262110500771,0.0213215571938112,34549.4978638497,16118.6479376217,-0.995013137034406,-0.099743957856854
10490,28,3.13473230123055,0.546425215497097,1.57325856009778,0.0490524794013639,34806.9755027896,16220.6728279423,-0.999983661358088,-0.00571638144915915
10494,42,2.79756536323704,1.06669931300088,2.21131278912549,0.0340434233304994,34963.3316845545,16225.4471566718,-0.964831882779455,-0.262867719532567
10655,113,1.80227173454719,1.51164917077517,2.08906844637669,0.0565691333181616,35233.7466549571,16248.2042771521,-0.23583931955077,-0.971792063845877
10903,123,0.94341558017697,1.86475893564857,2.69213519698981,0.0305812499930208,37097.2421316368,16328.1532628953,0.61747041942799,-0.786594101892089
